nr,kolumna2,kolumna3,kolumna4,kolumna5,kolumna6
50,0.90441434085399819,0.066947944992535716,0.11984134681530721,0.11945239724381826,1
51,0.90962963102170347,0.30922425908303081,0.35942867300291231,0.3665270026825857,1
52,0.90851140100367267,0.22370397205189765,0.27604386871524256,0.28360594596092198,1
53,0.91719731811697169,-0.014056413119627142,0.038567715922882773,0.036061983106559725,1
54,0.91128453665039444,0.061962658657970598,0.11936263965039773,0.12173373607658999,1
55,0.90202080502945081,0.30849123873676315,0.36459721442404436,0.35473135894723806,1
56,0.9023854452527218,0.22144133271775521,0.2753819064637662,0.26504108372177626,1
57,0.89557134795221338,-0.035347662258921358,0.019789679399363318,0.019969194586204369,1
58,0.90456767674275829,0.074270668655760388,0.13257196548211864,0.13970769415905057,1
59,0.90893026977296854,0.30453442482680826,0.36261132766961518,0.37141131172455272,1
60,0.90361961216225395,0.21578660433226199,0.26865756675667835,0.27248722407595416,1
61,0.91048419810906134,-0.022486147101704986,0.029816350564381373,0.036866061547618616,1
62,0.91450272036449287,0.072524135483785959,0.12634503243856957,0.13716456234546895,1
63,0.91295440187798882,0.3237874286155113,0.37493803716603424,0.37140383192510101,1
64,0.91695048473506524,0.22414528021954858,0.27325016362002869,0.29728275925837483,1
65,0.92187780262387953,-0.021981260638714521,0.034584722714846881,0.027467693536544244,1
66,0.91739740275230486,0.073029021946776435,0.12914247743350935,0.12849547478093637,1
67,0.91287960388347167,0.31137844132512343,0.36452615632925311,0.3614220395567932,1
68,0.91761618688626745,0.23119499120278583,0.28301878170396272,0.29282479878515527,1
69,0.91390994625794486,-0.038006730964004476,0.016756620721694669,0.00796411646620886,1
70,0.91008776873812069,0.074554901034925389,0.13437833704970675,0.13611365052250363,1
71,0.90495288641452143,0.31784472795112723,0.37104106165169304,0.37456404719344871,1
72,0.89517304863140978,0.22585815429399031,0.28224462246071064,0.28256251393740833,1
73,0.90281927362092096,-0.011670357094531462,0.040557342577037796,0.037449485904852038,1
74,0.88950149069715023,0.069008629741481989,0.11926540225752549,0.12674146180951024,1
75,0.87896619316941582,0.3076834203959784,0.36293669894576458,0.36836329344798063,1
76,0.88619354938963124,0.21591750082266692,0.2712567970661478,0.2808085009659822,1
77,0.87808544678397693,-0.038822029104240936,0.014594958680150306,0.0065466944701097016,1
78,0.86957343500793027,0.057272824401748051,0.11107128195817653,0.11643055826532718,1
79,0.88581394956745696,0.30488597540103862,0.35520258631269586,0.34784994345166431,1
80,0.90184876964206151,0.22874161698262474,0.28010913971724727,0.29370367522073126,1
81,0.89675128631572076,-0.022979813865517885,0.032232325787283897,0.021087424604235103,1
82,0.89952816186216833,0.065900773069296231,0.12608697935748556,0.12320351666885113,1
83,0.89336854701368462,0.31832343511603672,0.37208075377548078,0.36735352052199971,1
84,0.89314415303013328,0.21901039789594925,0.27329130251701306,0.2609795526194974,1
85,0.89290853934740444,-0.026925408076295228,0.026925408076295228,0.028084776991310369,1
